"rating","day","blog","text"
"Liberal",351,"db","abc abu abu abu abu abu abu abu abu abu achiev administr administr administr administr administr administr administr administr administr admit advanc agenc agent ago aid alleg alli alqaeda alqaeda alqaeda alqaeda alqaeda also also also america american american analysi analyst analyst analyst analyst analyst analyst analyst analyst anger angri anoth answer anyth appropri approv armi around arrest articl articl ask ask ask ask attack attack attack attack attack author author awar awar barack bay bay beaten becam behind believ believ believ believ bin bodi bomb book box branch break bring build bush bush bush call came came can can captur care care case case case center certain chanc cheney cheney cheney cheney cheney cheney cheney chief cite claim claim claim clark clark clean clear clear clear close coleman coleman come comment commiss committe committe communiti complain contribut countri countri cours cours credibl crime crime crimin cross cross cross damag dan danger danger dark david day decid decid declin defens destroy detaine detaine dick didn didn digbi direct director discuss discuss dismiss don done done eager editor effect effort end enemi everyth everyth evid exact exampl exampl exampl exist exit expert explain expos fair fair far far fear find first fli foreign foreign former four get get give given given guantanamo guantanamo guantanamo guantanamo guantanamo half hand head help high highest home hope hope hope hous howev hussein idea idea import includ includ includ inform inform intellig intellig intellig intellig intellig intellig intern interrog interrog interrog interview interview interview invad invad invas investig involv iraq iraq iraq iraq iraq iraq iraqi issu just justic kill kill kind knew knew knew knew know know know know know know know known laden lead leak leak learn leav level lie like linktocommentspostcount lock london long look lot made make make make mani mani march mark matter may mean mean media mess method method might moham moham moham much nation nation near need neighborhood neither never new nobodi nobodi northern nowher obama object object obtain obvious obvious offici one one one open oper oper order osama other pakistan pentagon pentagon peopl peopl peopl period peter piec plan plane plot plot plot polici polici polit posit possibl postcounttb prepar presid presid presid presid pretti prison prison prison prison prison probabl problem process program prosecut prosecut proud prove public qaeda qaeda qaeda question quiet quot read realli realli reason recent recruit red red red refer refus region relationship relationship relationship relationship releas releas reluct remain remark remind report report report report report report report report report report respons respons result robert rose rose rose rose rose rose saddam saddam saddam saddam said said said said said said said said say say say say say say say say say say say second seem select senat sens sept servic sever shop shut sick side sinc sinc situat size soldier solv soon soon sourc sourc speak spring stage state state state still still still stop stuff subject succeed success suggest support suppos suppos tactic take take take talk target techniqu techniqu term terror terrorist terrorist terrorist terrorist thank think think though three tie time time told told tortur tortur tortur tortur tortur tortur tortur tortur tortur treat treatment treatment trial true understood unit unit unusu updat use use use use use valu vice vice want want war war war war warn wasn well well well well well whether whether whether white within within work work work work world wrote year yet"
"Conservative",299,"ha","afghan afghanistan afghanistan afghanistan afghanistan afghanistan afghanistan almost amount area bad bad bare becom behind behind bit bring build can can case cash continu contribut countri daughter deal declin declin drop drop drug easili econom either either establish even exist expect expect fall fighter food forc fund get give good govern grow grow grown hand harsh hope incom infrastructur infrastructur infrastructur infrastructur ironi just keep lack land land leav loan loan long made mani market marri may militari money money move nato need new news news news normal oper order pay payment poor power prepar presenc problem product product product progress provinc quick reli reliabl reliabl remark report road sinc situat smaller sold store store suppli take taliban taliban taliban term territori third though time transport tri wave well will without wors year"
"Liberal",239,"tpm","absolut accept address advis american area arizona arizona arrest arrest arriv attorney author away barack barack barack barack barack becam begin big bill california california campaign campaign campaign candid candidaci caus cite citi claim clinton clinton clinton close colorado commerci concern confer confid contest convent convent convent convent credibl credibl deleg deleg democrat democrat denver denver denver denver endless enthusiasm enthusiast event ever exact expect expect expect fact fed first first former give hillari hillari hillari hillari hillari hillari ideal iowa john john kansa leav leav make man man mccain mccain mccain mccain mccain mccain mccain mccain messag missouri missouri multipl nation night nomin notabl obama obama obama obama obama obama obama obama obama obama offici okay oppos peopl pose post presid press press quot ralli report run said said said san say schedul schedul schedul serious sever sign sinc sort speak speech speech speech star state state stay stood support support support support suspicion swing talk target threat threat threat threaten thursday time today today today today today tomorrow tonight tonight top tour travel turn turn valu want washington wednesday will will will will will will yesterday yesterday"
"Conservative",92,"ha","along although among among anyway anyway appoint approach approv armi articl babi ballot believ can can can case choic choos close come committe committe committe committe committe committe committe committe convent convent count count cours dare dean dean decid decid decis deleg deleg dem direct divid dnc doesn end enough even even evid exit eye eye fight five florida florida florida forc forc gave gop great guess head hillari hillari hillari interest just know lead lead lead lead leav leav like look major major member member member michigan michigan michigan michigan morn movement need next novemb nuclear number obama obama obama obama obama obama obama obama odd option parti pennsylvania plenti plus point politico politico popular popular presid primari probabl pull question rasmussen rate refus remain remind respect rest retreat rule rule say scenario seat seat seat seat seat seat seat seat seem shape sinc slow somehow sort stand state state state state still still still succeed super support suspect system taken tank thank think tough tout tri tri two two understand unless unless updat utter vote vote vote vote vote vote vote voter wasn way well whether wide will will win win won"
"Liberal",116,"tpm","absolut aggress alleg argu argu argu argu argument argument argument argument away basic best big buck can can carolina carolina case case chanc choic choic clear clear clear clear clear close close close compet complet conclus continu continu count count count count count cours cours deliv deliv dem democrat despit elector elector elector emerg establish even even fact fact fact far feed finish first florida florida florida florida florida follow free futur gaff gain gain game get get good gop hard hillari huge imposs includ includ includ includ includ includ indiana industri judgment just keep kept lack like like like look make make make make make michigan multipl necessari nomine north north obama obama obama obama obama obama obama one one oppon oregon part peopl peopl percent plan pledg popular popular popular popular popular popular popular posit possibl possibl power press primari primari push question question realli reason refus revel second show show show show spin spin spin state state stay stick superdeleg take though tie time tough tough tri turn two understand use use use virginia vote vote vote vote vote vote vote vote voter war war war weak west whether white will will will will win win win within won won"
"Conservative",19,"mm","action action action action action action america america author bill bill bill bill bill bill bill bill border border border border border border clarifi clarifi committe committe committe committe committe committe comprehens consequ control david employ enabl enabl enforc enforc enforc enforc ensur exist exist financ general general immigr immigr immigr immigr introduc introduc introduc introduc introduc john jon judiciari judiciari latest latest latest latest latest law law law legisl legisl major major major major major mark none none open order order part place place practic practic program program provid provid purpos purpos read read read read read refer refer refer refer refer refer reform reform reform relat relat relat second second secur secur secur secur sen sen sen sen sen senat senat senat senat senat senat sponsor sponsor sponsor sponsor sponsor state status status status strengthen strengthen time time titl titl titl titl titl twice twice twice unit"
"Conservative",11,"at","accord act actual allow alon also ask bill bill bill bill blame case caus charg citizen compani compani connect cost countri countri crimin crimin cut deliv depart disgrac due establish evid failur fbi fbi fbi field fine fisa five follow foreign found found fund general glenn govern half halt hope improv inspector intellig intellig investig investig investig justic lack lack late late least line lost lost lost mess money much offic offic one one one oversight paid pay pay pay pay payment payment phone phone phone phone prompt proper prosecut protect recommend releas repeat report result result result secret sensit spi steal surveil surveil surveil suspect suspect terrorist thursday time time total use use use use vet wiretap wiretap wiretap wiretap"
"Conservative",244,"mm","abort actual add adopt alon anyth approv assum ban bare basic believ believ better blog blog blogger born bottom burden candid child child comment conserv contrast cover crap critic daughter daughter decid decid democrat didn dig dig elsewher equip even find find glad governor governor governor hate high high hollywood idea interest item just just just keep kind know let let let littl look look mainstream make make meme mention michell might mine movi note one one oper opinion palin palin palin palin palin palin peopl pick point poll post post present real realli remov republican result road run sarah say school second second second seedubya shut site slip speak spend take tell think think thought time time tip told tout true updat wait want want well well well well will will world worth wouldn wouldn yesterday"
"Liberal",268,"tpm","abl abl achiev action activ agenda agre agre agre also argu astonish attack brought call call campaign can clear cours crisi debat debat debat deliv drive elector everyon familiar far forc futur get goal goal handl jump jump jump jump jump key late legitim mccain mccain mccain mccain mccain mccain move number obama obama obama obama obama obama obama obama one one order part perceiv plus point point point polit possibl precis precis reader real recogn refus republican respons right right seen seen set show somehow statement suspend theori thing thus togeth transpar two uniti updat use want way well whatev will will without worst"
"Liberal",244,"tp","actual actual afford afford alon amend american american american american american answer april ask assert attempt avail bad bad bill bill bill bill bill bill bill billion can can care certain certain choic choic chris claim claim clear commit compani concern consid consist convent correct cut cut deal democrat democrat democrat dismiss doesn doesn dollar done drill drill educ educ energi energi even even even even even everi everi everyth fact fact feder feder fox fund fund get get get get give give good good good good good good got got govern harri health health higher host import import increas increas increas increas increas increas increas increas initi insur iron issu issu job john just keep keep key kind later leader leader least let let like link live live live live look lot low low low may mccain mccain mccain mccain mccain mccain mccain mccain mccain mccain mccain mccain mccain mccain mccain mccain minimum minimum minimum minimum minimum minimum minimum minimum minimum minimum minimum minimum news now obama obama occas offshor offshor oil one opportun oppos oppos peopl peopl peopl peopl point point point pork pork pork practic practic presid presid press question rais rais rais raz reason record reid repli resolut said say say say secur see sen senat senat senat senat senat senat sens septemb show spend start straight straight straight straight sunday support support support sure talk tax tax tax tax teacher thing thing thing thing thing though tie time time time time time time today transcript union usual veto veto vote vote vote vote vote vote vote vote vote vote vote vote vote vote vote vote vote vote wage wage wage wage wage wage wage wage wage wage wage wage wage wage wage wage wallac wallac wallac wallac wallac wallac wallac wallac wallac wallac war war washington washington watch watch way way well well well well whatev whatev will will yes yes yes yes"
"Liberal",192,"db","abil abus act address administr afford allow alway alway amend amend amend america american american american american american american anyth approv approv argu associ attorney attorney attorney back back behalf breath broad bush bush call capabl case case center challeng chris civil coalit code communic communic communic communic compromis conduct conduct conduct conduct conduct congress constitut constitut constitut contribut convers court court crimin dan david decid defens digbi director done door email email employe enemi era ever everyon everyth exact excus execut fact fail fail fashion feel file file find firm first fisa fourth fourth free free free fund fundament generous get give give global global govern govern govern govern govern great greatest happen happen happen happen hold hold howev human human immun includ individu inform intend intend intern intern intern intern intern journalist judici labor late later law law law law law law law lawsuit legal legal legal let liberti like like like line line linktocommentspostcount locat look look manner may media modern monitor must nation new new new new new new new offic old one organ parti pass past peopl peopl perform permit phone plan polit possibl postcounttb power power power power presid presid principl program protect protect provid raid reli repres requir reveal right right right right right right said say scott secret see servic session sign sit soon speak speech speech spi spi spi spi spi state state stop strang surpris surpris surveil surveil surveil surveil surveil surveil surveil surveil suspect target tell thing time time time today today today today tri trial union union unless usa use violat virtual vote warrant washington watch way wednesday went whether whose will will will will will will will wing wiretap wiretap without without women wonder work work year york"
"Conservative",24,"ha","agre alway america american assum assum attempt baghdad baghdad believ beyond broke bush bush bush bush bush can can case case chang clean clear come come concern connect death decid didn didn didn doesn don don door end energi enough especi even everyon fact famili fear find first follow follow fool futur goal hope hundr initi insid intimid invad invas invas invas iran iran iran iran iranian iranian iraq iraq just just keep kept knew knew know know know know less let lie lie lie loss media member minut news next notori novemb nuclear nuclear old presenc presum prevent program program risk robert saddam saddam saddam sadr say say secret share shiit sinc still stop sure sure sure though thousand time time transpar tri troop two type understand understand understand way weapon week whatev whether will work worri wouldn"
"Conservative",357,"at","activ advanc agenda alli alreadi america answer appar arm arm assign assign barack blame blame boston boston bring bush bush bush bush cancel card card challeng chanc compani compani continu cooper corrupt critic crucial danger defens describ describ develop discuss editori editori energi energi energi european face fault fault find flaw follow foreign former georg georg georgia georgia georgia globe globe globe help henri ideolog iran iran key known least make may measur messag minist missil month murder mysteri nation nato newspap now nuclear nuclear obama obama obama obama occur one one one one oppos pattern piec play polici polici predict presid pressur prime prospect provid question read regim relat relationship richard ridicul right right run russia russia russian russian russian secur statement suppli suppli suppli system system term term terror threat threat trade trip two violenc weapon western will yes"
"Liberal",173,"tp","account administr alleg also american american answer appeal behavior betray book bush campaign cheney cia circumst civil civil congress congression continu continu court decis design engag engag ensur fellow follow former fulli futur generat govern hold hous howev ident investig joseph judici justic karl lawsuit lawsuit leak light light mani need now offic offici ongo permit polit posit presid press press press privat public public pursu pursu question releas remain right role rove say scott scott secretari senior smear statement statement subsequ suit suit system testimoni testimoni testimoni today truth use vice vow white yesterday"
"Conservative",140,"mm","abl also announc answer ask back battl best biggest brief bring bring campaign candid candid candid caus celebr champion chang cheer citi clean compet congression consum decad deleg dump elector energi enough environ everi exercis facil fall fast fund gone hat ignor imagin issu issu know last latter let mccain medic middl mountain nation nevada new nuclear nuclear obama obama obama obama offer opinion pat peopl plenti polici polici presidenti presidenti produc put put put question region repres republican research respons said site somewher staff state state support test time tip took took touch tour transcript typic use use vote washington wast watch week weekend well well whatev work year yes"
"Conservative",146,"ha","abu abu accept accept accord account account admit admit afraid age agre alon along alreadi also also also also also also also although among among anoth anoth answer anyth appeal appear appear arab arab argument assert assur attempt attribut bad belief believ believ believ believ believ believ believ believ bin blog book bring bring came can caus certain charg charg charg children children children christian christian citi come come come come command comparison confront consider constant continu cours crowd cultur death deleg deleg deleg demand demand destroy destroy destroy destroy destruct discov don earlier earlier earth even everyon exact exact except excus explicit faith famili fate father father favor fear fear featur feet find find firm first follow follow follow follow follow forth forth found frequent gather good grant hand haven hell hope howev immedi import inde inde islam isn israel israel israel judg just just just just just kill kill king knew knew know land leader liar like like like link lose lot lot lot lot love made made main make make man mani member mental mention mention mere messag messag met met met might might mission moham money money month month muslim name never new next object old one one open opposit other part pass past pattern peac peopl peopl peopl peopl peopl peopl peopl plain plain plot point point point popul popular popular possibl power promis punish punish punish realli reason recal receiv recogn refus refus refus reject reject reject reject request request request rescu respond return return return reveal revel revel rock rock rock said save say say say say say say say say sea see seen seen seen segment send set show side sign sign sign sign sign similar simpli sin soon split stand state still stood stori stori stori stori stori stori stori studi sudden suffici talk tell tell tell tell tell ten ten ten think third throughout told told told translat translat translat true true true truth two ultim upon upon upon various wage war warn warn warn week well whether wife will will will will will will will will will win wit without woman word work worri wouldn yet"
"Liberal",239,"tpm","address also american among anyon ask author back bad balanc barack barack best big bill bit bit boost boy came campaign campaign candidaci care care caus certain challeng challeng children children children choic circl close come complet conclud convict countri countri cover day deliv deliv dem demand democrat democrat democrat democrat describ direct earlier elect elect endors endors equal even even everi fate fate fate feel figur final find futur general goal grand hang head health health higher hillari hillari hillari hillari hillari hillari hillari hit hope impact instead just keep key kid larger late late late late late late later law less life life like like like line line line look made made make mani marin measur minim minimum mom mom moment motiv nation nation need noth obama obama obama obama obama obama obama obama one one one one one other parent parti passion peopl peopl perhap persuad plan point possibl power power presid primari provid put rais rais ran reason reason reason rest set shock sign sincer singl someth sourc speech speech speech stage stake stand struggl support support support support support support surviv talk talk tell tell think think thursday tonight took total two uniti updat updat updat wage wait want want watch way way will will will young"
"Conservative",310,"ha","aim answer appli argu ask back bailout bottom build call certain chang come congress demand demonstr endur find first focus gave god gop gop govern hit jeff leadership leadership leadership liberti loss lost map messag movement must need need new order part parti polici polit posit principl principl principl principl privat prosper public pursu question read recov relat rep republican republican republican republican republican rest return road rock sector sector secur serious sing soul soul strength taken time today truth two wake way week will"
"Liberal",70,"tpm","absolut advertis along america america answer anybodi ask back back believ bill bill call call can can choic clear clinton clinton clinton clinton concern cycl day day day day deleg direct domin don don don don due elect enough event everybodi everybodi explain fell first first float follow forc futur general get get gonna gonna gonna gonna great great guy hillari hit import import interest judgment key key kind know know know last late line line long long make mani may mayb might morn new news news notion now obama obama obama obama obama offer old one one one past person person phone phone place place point point popular possibl presid presid presid presid presid presid presid presid presid probabl quot readi readi readi readi readi readi readi readi readi reason recent rememb respect respond run run run run run run said say say second second see select sen sen sen somebodi somehow someon someon someth soon spend state state state stori support sure tell thing thing think think think think three ticket ticket today tonight took toward toward transcript tri tri tri tri tri twice two understand understand unfortun unit unit unless updat vice vice vice vice vice vice vice video video vote voter want want want want way way week week well will will won won worri worth yet"
"Liberal",182,"db","absurd accord administr administr advanc allow also america american american american anyon anyon anyth appar area arm arm arm around art asset assum attack away back beauti becam believ believ benefit bodi bring brook call call call call campaign campaign campaign campaign campaign campaign can candid case caus certain certain chose clark clark clark clark clark clark clark clark clark clark clark classic clear clear combat come come come comment commit condemn contend convent countri countri courag credenti credibl credibl credibl critic critic critic critic cut cut damag danger david david day decid decis democrat democrat democrat democrat democrat democrat democrat democrat democrat democrat depress design digbyi doubt doubt duti effect effect elect element embarrass endur entir establish establish even even everyon everyon everyon everyon everyth execut experi experi experi experi experi expert fact fellow fight fight final fit fit fit fit fit fit five flaw forc forc forc foreign foreign former former four four four front full futur general general general general general general general general general get give grand grand great great great happen help hero hero hero high home honor honor honor hundr idea ignor import import import import import includ inde insist integr iraq iraq iraq iraq issu issu job john john john john journal judgment judgment judgment just keep kind knew know last leader leadership leadership learn least left less less liber lifetim like like like linktocommentspostcount littl littl littl look look look loos loos love made make make man man man mani mani matter mccain mccain mccain mccain mccain mccain media media media member meme messag might militari militari militari militari militari million moment month move must must nation nation nation nation nation nation nation nato need need never next now now obama obama offic one one one one one one oper opinion order other parti past peopl peopl peopl peopl perfect person person petraeus petraeus petraeus petraeus point point polici polici polici polit polit postcounttb pow pow power predict prepar presid presid presidenti prison prison protect protect prove proven public pull put question radic ran real real reason record record reliabl rememb report republican repudi repudi repudi resolut respect respect retir review review ridicul right right run safe said said said say say say secur secur secur see seem senat senat send send sent serious serv servic servic servic servic show show shut shut similar slight smart someon someon someon someon someth sound speak special spent stand star star state strong super support suppos sure sure surg surrog take take thing think think think think thought thousand tim time time today told took truli turn undermin uniqu unit unless updat updat use use valu veteran vietnam villag villag voic vote wait wait want want want war war war war war war war war way way weak wear well whole whose whose will will wisdom without wonder work worker world written wrote year yesterday"
"Liberal",273,"tp","accord accord actual actual administr ago aid aid alqaeda alreadi american american among amount around around ask attack attorney attorney auto baghdad baghdad barack barack begin believ believ benefit benefit best billion billion block bolster bomb bomb bomb bush campaign can capit car center center charact citi code comment compani conflict continu daili day dean defend definit denver depart depress didn don earli econom economi economi effect effort either elect electr elimin endors episod even ever exampl except execut execut fear feder feder feder figur final fire fire fire five follow forc former friday friend general general georg get give global goal got gov govern govern grab grand grow guarante hous hous industri industri insid inspector institut invas involv john john john joke just justic justic keep keep kill largest last later lawmak lawmak least level like link loan made mani mate mayor mccain mccain mccain mccain mccain money month nation need neither new new new nine nuclear nuclear number number obama obama offer offic offic offici one organ packag pakistan pakistan pakistani palin palin palin palin palin pay peopl peopl percent percent percent pick pick plan polici polici polici polit poll poll potenti practic present probe product profession progress promis promot prosecutor public qaeda rak ralli receiv receiv recommend refer reform reinforc releas reli remain remov repli report report research resid respons restrict role run said said said sarah sarah sarah saturday say secur secur secur secur secur seek seek seek sell senat septemb side sign sign sinc site situat speak special special spoke stabl statement steve still strike strike stronger stuck sunday support support target tax terror terror terrorist terrorist terrorist think think thinkfast though though thousand today today today trail typic ultim unabl univers univers upcom usual vehicl vote war washington way weak weekend weekend white will will will win without world world wound year yesterday zone"
"Conservative",242,"at","administr age along along alway announc announc anyth argument becom began bottom bound bush catastroph choic citizen clinton close coast coast convent convent convent cost crisi crisi crowd democrat democrat democrat deni depend die even ever evid expect fact fair feder feder fellow get gop govern govern gulf gulf hard hate help hit hold huge hurrican hurrican hurrican hurrican left left less like line live long longer look look made make make matter mccain mccain mccain mccain might minnesota monday monitor nation need new news next one parti partisan pay peopl peopl perform play polit polit polit polit polit poor possibl power presid presid probabl race reason recal republican republican republican respons right run said said scream seen sensit sever show situat situat specif spokesman thank think time unfair victim weather well will will wind"
"Liberal",84,"tpm","account account account accur acknowledg advantag ago ago alleg also also also anoth area around around arriv avoid base book call call campaign certain claim combat conced confer couldn coupl cut danger danger describ descript descript discuss due earlier episod event event event exampl exit fire fire fire fire first first front get get head hill hill hillari hillari hillari hillari histori histori hous howard howev insid instanc instead just key kind ladi ladi land line live live look mention mere mere might moment move news obama origin particular phone place plane poor possibl potenti presid question question quot ran read recent red regard rememb rememb repeat report roll said said said said said say say say second send short similar similar small spokesperson stretch suppos term though time tout trip turn two two upon use vehicl week week week welcom went white zone"
"Liberal",297,"tpm","advantag age ago also among among among around ask attack basic battleground better better biggest blow born cathol close colleg comfort competit democrat depend despit develop differ elector evangel explain fact florida foreign foreign foreign foreign four get group group handl handl help histor instanc intern issu john kerri key margin may mccain mccain mccain mccain men might near nomine now now number number number obama obama obama obama ohio ohio ohio pennsylvania pennsylvania pennsylvania perhap perhap phrase point point point polici polici polici polici poll prefer prepar pretti prevent question question remark say senat shift signatur signific six six smaller state state state state still still stun swing terror terrorist three three three today true trust two two unabl vote vote voter voter voter way well went whether white white win win win women year"
"Liberal",311,"db","achiev action ahead air also alway among amount analysi anyon anyth appar argu argument argument behind believ benefit benefit beyond bigger bill brain breath bring broad can can can can can care caught certain children choos clean code collect come come comfort comfort comfort communiti communiti continu contribut cost countri crime deal decent decent decent democraci depend digbi direct discuss earli educ elder els email enemi ensur entir even everyon exact expens fair fair far feel financi forev found fresh function fundament give good got govern govern govern govern govern health help help human ignor ignor immedi incom indict individu infrastructur insid insight insur insur interest interest joe just kick kid kid kid know leav life life life like like like linktocommentspostcount live live live live live live long look maintain major make make make mani modern money money money morn move need nice noth obvious obvious often one one one opportun order organ outsid parent part pay pay pay peopl peopl peopl peopl peopl perfect person persuad pictur place polit polit postcounttb poverti principl pull racist rather ration realiz realiz realli requir revolut right run say sens sent set share sit size smart social social societi societi societi societi somehow someth someth stabl still tax test thing thing think think think think think thought time toler toler tribal ugli understand unemploy unusu upon view vote want way well well well whether will will will will without work work work world"
"Conservative",175,"at","absolut act act actual age agre allow american angri antiwar appear appear around attack attack began black bound break came caus certain chanc colleg concern conserv countri dead decid degre deliber direct drop drug earlier easi equal everybodi everyth expand expand expand extremist first forget found free free fun funni funni funni gay georg ground grow hispan hous hurt includ institut joke judg just later less let liberti limit lot love made make make mani mani most mouth much much much noth pass peopl place play play polit polit polit polit quit rant recogn religion republican routin run simpli simpli site sole someth someth speech speech stand start stop straight suit take take talk target target thought throw tie time time took tradit tradit treatment turn video view wall well white whose will world world year"
"Conservative",127,"ha","access access act agreement agreement agreement agreement agreement almost along alreadi assist bad ban better bit caught client close commerci congress congress congress construct day deal drive electr end energi enough except first fuel germani get give govern group haven help help idea import includ includ iran iran iran iranian islamist keep knew last legaci licens like look look market market market market massiv month movement much nation need negoti next noth nuclear nuclear nuclear nuclear nuclear nuclear nuclear oil open open opportun oppos pass pass place plant point polici power power presid pressur process product radic ration revers russia russia russia russian russian russian russian russian russian seen sell set sever sign sound stop take technolog technolog terrorist time tri unless unless vast vote want weapon will will will won worri year"
